1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,15,9,11,5,13,11,10,15,17,14,10,8,10,7,10,12,10,7,10,11,12,15,10,11,11,18,12,9,15,13,7,9,12,11,11,5,16,14,13,11,8,16,15,13,10,10,10,13
0,0,14,10,10,12,10,8,16,11,12,14,10,13,5,14,13,12,9,13,15,11,8,11,6,8,13,7,11,8,13,9,8,10,12,11,12,15,9,18,10,11,14,16,9,7,4,11,12
0,0,0,5,12,9,13,6,13,17,13,17,11,9,16,10,7,9,12,11,18,12,10,10,9,9,13,17,15,13,10,8,9,13,11,17,16,12,11,12,12,5,17,12,11,11,15,6,13
0,0,0,0,13,9,14,5,8,7,6,14,8,13,14,12,14,10,9,7,12,15,9,11,6,11,7,5,9,11,7,8,6,8,9,19,11,13,13,16,13,12,7,10,12,12,8,6,15
0,0,0,0,0,9,11,10,11,7,7,8,6,9,6,6,9,10,7,9,13,14,8,8,6,11,11,11,10,12,4,9,12,11,7,8,11,6,8,9,8,13,11,10,10,10,9,6,14
0,0,0,0,0,0,13,6,11,14,11,11,2,9,9,6,11,6,5,9,10,12,7,11,12,14,4,5,7,13,12,12,6,6,9,16,10,11,12,13,13,6,13,10,13,11,4,8,10
0,0,0,0,0,0,0,12,11,12,9,21,11,17,21,10,8,9,8,9,11,9,14,6,9,9,9,8,11,11,13,9,9,16,17,11,18,19,11,10,15,16,9,14,14,13,11,9,14
0,0,0,0,0,0,0,0,15,9,9,11,6,9,7,8,9,8,10,8,12,13,8,15,10,12,13,8,8,7,7,17,6,13,7,14,13,7,9,9,10,14,11,10,8,4,11,10,13
0,0,0,0,0,0,0,0,0,5,14,15,11,16,14,15,13,10,10,16,14,13,14,13,9,10,8,14,16,9,15,8,8,14,11,9,13,11,8,7,14,13,16,11,15,6,14,14,14
0,0,0,0,0,0,0,0,0,0,8,14,13,15,11,9,10,5,7,7,13,11,10,12,10,19,12,7,7,7,10,11,14,11,13,11,11,16,13,12,10,10,8,11,15,9,14,7,8
0,0,0,0,0,0,0,0,0,0,0,7,10,9,8,13,12,7,9,13,15,16,17,9,7,14,16,15,8,12,10,11,4,13,13,7,7,15,7,16,12,8,11,15,14,12,10,7,13
0,0,0,0,0,0,0,0,0,0,0,0,11,12,16,11,10,14,12,11,15,13,16,12,6,9,17,9,8,11,10,12,8,11,9,9,14,12,11,15,11,11,16,18,11,18,11,11,12
0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,7,7,7,11,9,5,6,8,16,3,9,9,10,9,12,12,15,9,10,12,11,6,15,15,11,14,11,16,6,13,6,6,15,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,4,10,8,9,9,10,9,12,7,12,6,13,7,14,8,5,6,7,9,9,9,10,12,9,11,5,9,10,10,11,9,10,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,13,9,12,16,8,13,10,8,11,10,14,11,10,9,11,5,6,9,9,17,12,15,11,15,8,9,8,12,15,10,12,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,9,11,7,15,5,10,9,11,14,6,9,11,10,9,7,10,14,9,14,9,11,15,9,15,9,14,8,12,6,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,7,11,7,12,8,6,14,11,9,12,6,13,7,7,12,12,14,16,16,8,12,11,11,9,8,12,7,10,11,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,11,8,10,8,10,10,8,13,8,14,5,9,10,11,12,12,14,11,9,13,13,12,9,6,15,14,6,6,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,11,2,12,10,12,7,12,13,8,10,13,8,12,7,6,11,11,11,11,9,13,11,8,14,10,10,17,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,9,10,8,10,6,14,16,13,7,9,9,11,13,10,9,9,7,11,12,6,10,9,9,8,10,10,9
